director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,movie_id,comb
Oleg Stepchenko,Jason Flemyng,Igor Jijikine,Agnia Ditkovskite,Adventure Fantasy Mystery Thriller,viy,tt1224378,Jason Flemyng Igor Jijikine Agnia Ditkovskite Oleg Stepchenko Adventure Fantasy Mystery Thriller
Ronny Yu,Katharine Isabelle,Jason Ritter,Zack Ward,Action Horror Thriller,freddy vs. jason,tt0329101,Katharine Isabelle Jason Ritter Zack Ward Ronny Yu Action Horror Thriller
Michael Winterbottom,Cara Delevingne,Ava Acres,Sara Stewart,Drama,the face of an angel,tt2967008,Cara Delevingne Ava Acres Sara Stewart Michael Winterbottom Drama
John A. Davis,Martin Short,Rob Paulsen,Andrea Martin,Action Adventure Animation Comedy Family Sci-Fi,jimmy neutron: boy genius,tt0268397,Martin Short Rob Paulsen Andrea Martin John A. Davis Action Adventure Animation Comedy Family Sci-Fi
Matt Reeves,Mike Vogel,Ben Feldman,Liza Lapira,Action Adventure Horror Sci-Fi,cloverfield,tt1060277,Mike Vogel Ben Feldman Liza Lapira Matt Reeves Action Adventure Horror Sci-Fi
Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.,Action Adventure Comedy Family Sci-Fi,teenage mutant ninja turtles ii: the secret of the ooze,tt0103060,Kevin Nash Paige Turco Ernie Reyes Jr. Michael Pressman Action Adventure Comedy Family Sci-Fi
Brian De Palma,Robert De Niro,Billy Drago,Charles Martin Smith,Crime Drama Thriller,the untouchables,tt0094226,Robert De Niro Billy Drago Charles Martin Smith Brian De Palma Crime Drama Thriller
Ethan Coen,Kelly Macdonald,Stephen Root,Barry Corbin,Crime Drama Thriller,no country for old men,tt0477348,Kelly Macdonald Stephen Root Barry Corbin Ethan Coen Crime Drama Thriller
Tim Story,Bruce McGill,Tika Sumpter,Bryan Callen,Action Comedy Crime Romance,ride along,tt1408253,Bruce McGill Tika Sumpter Bryan Callen Tim Story Action Comedy Crime Romance
Sharon Maguire,Colin Firth,Jim Broadbent,Shirley Henderson,Comedy Drama Romance,bridget jones's diary,tt0243155,Colin Firth Jim Broadbent Shirley Henderson Sharon Maguire Comedy Drama Romance
Lasse Hallström,Lena Olin,Leslie Caron,Hugh O'Conor,Drama Romance,chocolat,tt0241303,Lena Olin Leslie Caron Hugh O'Conor Lasse Hallström Drama Romance
Charles Herman-Wurmfeld,Mary Lynn Rajskub,Bruce McGill,Bob Newhart,Comedy,"legally blonde 2: red, white & blonde",tt0333780,Mary Lynn Rajskub Bruce McGill Bob Newhart Charles Herman-Wurmfeld Comedy
Andy Fickman,Bailee Madison,Gedde Watanabe,Tom Everett Scott,Comedy Family,parental guidance,tt1047540,Bailee Madison Gedde Watanabe Tom Everett Scott Andy Fickman Comedy Family
Ivan Reitman,Natalie Portman,Greta Gerwig,Mindy Kaling,Comedy Romance,no strings attached,tt1411238,Natalie Portman Greta Gerwig Mindy Kaling Ivan Reitman Comedy Romance
George P. Cosmatos,Michael Biehn,Dana Delany,Powers Boothe,Action Biography Drama History Romance Western,tombstone,tt0108358,Michael Biehn Dana Delany Powers Boothe George P. Cosmatos Action Biography Drama History Romance Western
Andrzej Bartkowiak,Jet Li,Delroy Lindo,Aaliyah,Action Crime Thriller,romeo must die,tt0165929,Jet Li Delroy Lindo Aaliyah Andrzej Bartkowiak Action Crime Thriller
James Wong,Chelan Simmons,Gina Holden,Crystal Lowe,Horror,final destination 3,tt0414982,Chelan Simmons Gina Holden Crystal Lowe James Wong Horror
Scott Hicks,Blythe Danner,Riley Thomas Stewart,Jay R. Ferguson,Drama Romance,the lucky one,tt1327194,Blythe Danner Riley Thomas Stewart Jay R. Ferguson Scott Hicks Drama Romance
Gabor Csupo,Josh Hutcherson,Zooey Deschanel,Bailee Madison,Adventure Drama Family Fantasy,bridge to terabithia,tt0398808,Josh Hutcherson Zooey Deschanel Bailee Madison Gabor Csupo Adventure Drama Family Fantasy
Marc Forster,Johnny Depp,Kate Winslet,Kelly Macdonald,Biography Drama Family,finding neverland,tt0308644,Johnny Depp Kate Winslet Kelly Macdonald Marc Forster Biography Drama Family
Tyler Perry,Alicia Witt,Tika Sumpter,Larry the Cable Guy,Comedy Drama,a madea christmas,tt2609758,Alicia Witt Tika Sumpter Larry the Cable Guy Tyler Perry Comedy Drama
Joe Carnahan,Liam Neeson,Frank Grillo,James Badge Dale,Action Adventure Drama Thriller,the grey,tt1601913,Liam Neeson Frank Grillo James Badge Dale Joe Carnahan Action Adventure Drama Thriller
John Polson,Robert De Niro,Dylan Baker,Robert John Burke,Drama Horror Mystery Thriller,hide and seek,tt0382077,Robert De Niro Dylan Baker Robert John Burke John Polson Drama Horror Mystery Thriller
Adam McKay,Darcy Donavan,Will Ferrell,Steve Carell,Comedy,anchorman: the legend of ron burgundy,tt0357413,Darcy Donavan Will Ferrell Steve Carell Adam McKay Comedy
Martin Scorsese,Robert De Niro,Mike Starr,Paul Sorvino,Biography Crime Drama,goodfellas,tt0099685,Robert De Niro Mike Starr Paul Sorvino Martin Scorsese Biography Crime Drama
Harald Zwart,Daniel Roebuck,Frankie Muniz,Chris Gauthier,Action Adventure Comedy Crime Family Romance Thriller,agent cody banks,tt0313911,Daniel Roebuck Frankie Muniz Chris Gauthier Harald Zwart Action Adventure Comedy Crime Family Romance Thriller
Kirk Jones,Colin Firth,Kelly Macdonald,Imelda Staunton,Comedy Family Fantasy,nanny mcphee,tt0396752,Colin Firth Kelly Macdonald Imelda Staunton Kirk Jones Comedy Family Fantasy
Brian De Palma,Al Pacino,F. Murray Abraham,Mary Elizabeth Mastrantonio,Crime Drama,scarface,tt0086250,Al Pacino F. Murray Abraham Mary Elizabeth Mastrantonio Brian De Palma Crime Drama
Steve Oedekerk,Kelly Preston,Michael McKean,Rebecca Gayheart,Action Adventure Comedy Crime,nothing to lose,tt0119807,Kelly Preston Michael McKean Rebecca Gayheart Steve Oedekerk Action Adventure Comedy Crime
Bernardo Bertolucci,Cary-Hiroyuki Tagawa,Joan Chen,Victor Wong,Biography Drama History,the last emperor,tt0093389,Cary-Hiroyuki Tagawa Joan Chen Victor Wong Bernardo Bertolucci Biography Drama History
Baltasar Kormákur,J.K. Simmons,David O'Hara,Lukas Haas,Action Crime Drama Thriller,contraband,tt1524137,J.K. Simmons David O'Hara Lukas Haas Baltasar Kormákur Action Crime Drama Thriller
Brett Ratner,Heather Locklear,Paul Sorvino,Faizon Love,Action Comedy Crime Thriller,money talks,tt0119695,Heather Locklear Paul Sorvino Faizon Love Brett Ratner Action Comedy Crime Thriller
Paul Thomas Anderson,Jim Meskimen,Paul F. Tompkins,Kevin Breznahan,Drama,there will be blood,tt0469494,Jim Meskimen Paul F. Tompkins Kevin Breznahan Paul Thomas Anderson Drama
Cathy Malkasian,Alfre Woodard,Flea,Cree Summer,Adventure Animation Comedy Family Fantasy,the wild thornberrys movie,tt0282120,Alfre Woodard Flea Cree Summer Cathy Malkasian Adventure Animation Comedy Family Fantasy
John Eng,Elizabeth Daily,Cree Summer,Nancy Cartwright,Adventure Animation Comedy Family Fantasy Musical,rugrats go wild,tt0337711,Elizabeth Daily Cree Summer Nancy Cartwright John Eng Adventure Animation Comedy Family Fantasy Musical
Malcolm D. Lee,Dave Chappelle,Eddie Griffin,Chi McBride,Action Comedy,undercover brother,tt0279493,Dave Chappelle Eddie Griffin Chi McBride Malcolm D. Lee Action Comedy
Ken Kwapis,Mike Vogel,America Ferrera,Kyle Schmid,Comedy Drama Family Romance,the sisterhood of the traveling pants,tt0403508,Mike Vogel America Ferrera Kyle Schmid Ken Kwapis Comedy Drama Family Romance
Chris Nahon,Jet Li,Bridget Fonda,Max Ryan,Action Crime Drama Thriller,kiss of the dragon,tt0271027,Jet Li Bridget Fonda Max Ryan Chris Nahon Action Crime Drama Thriller
Fred Wolf,Emma Stone,Katharine McPhee,Beverly D'Angelo,Comedy Romance,the house bunny,tt0852713,Emma Stone Katharine McPhee Beverly D'Angelo Fred Wolf Comedy Romance
Bille Woodruff,Alfre Woodard,Keshia Knight Pulliam,LisaRaye McCoy,Comedy,beauty shop,tt0388500,Alfre Woodard Keshia Knight Pulliam LisaRaye McCoy Bille Woodruff Comedy
Craig Gillespie,Jon Hamm,Suraj Sharma,Gregory Alan Williams,Biography Drama Sport,million dollar arm,tt1647668,Jon Hamm Suraj Sharma Gregory Alan Williams Craig Gillespie Biography Drama Sport
Phillip Noyce,Jeff Bridges,Meryl Streep,Alexander Skarsgård,Drama Romance Sci-Fi,the giver,tt0435651,Jeff Bridges Meryl Streep Alexander Skarsgård Phillip Noyce Drama Romance Sci-Fi
Dennie Gordon,Colin Firth,Oliver James,Kelly Preston,Comedy Drama Family Romance,what a girl wants,tt0286788,Colin Firth Oliver James Kelly Preston Dennie Gordon Comedy Drama Family Romance
Victor Salva,Nicki Aycox,Jonathan Breck,Billy Aaron Brown,Horror,jeepers creepers ii,tt0301470,Nicki Aycox Jonathan Breck Billy Aaron Brown Victor Salva Horror
Mark Helfrich,Dane Cook,Dan Fogler,Chelan Simmons,Comedy Romance,good luck chuck,tt0452625,Dane Cook Dan Fogler Chelan Simmons Mark Helfrich Comedy Romance
Andrzej Bartkowiak,Jet Li,Tom Arnold,DMX,Action Crime Drama Thriller,cradle 2 the grave,tt0306685,Jet Li Tom Arnold DMX Andrzej Bartkowiak Action Crime Drama Thriller
Stephen Daldry,Meryl Streep,Stephen Dillane,Miranda Richardson,Drama Romance,the hours,tt0274558,Meryl Streep Stephen Dillane Miranda Richardson Stephen Daldry Drama Romance
Andy Fickman,Channing Tatum,Alexandra Breckenridge,Laura Ramsey,Comedy Romance,she's the man,tt0454945,Channing Tatum Alexandra Breckenridge Laura Ramsey Andy Fickman Comedy Romance
Steve Bendelack,Lily Atkinson,Emma de Caunes,Steve Pemberton,Comedy Family,mr. bean's holiday,tt0453451,Lily Atkinson Emma de Caunes Steve Pemberton Steve Bendelack Comedy Family
Dwight H. Little,Nicholas Gonzalez,Salli Richardson-Whitfield,Johnny Messner,Action Adventure Horror Thriller,anacondas: the hunt for the blood orchid,tt0366174,Nicholas Gonzalez Salli Richardson-Whitfield Johnny Messner Dwight H. Little Action Adventure Horror Thriller
Guillaume Canet,Mila Kunis,Lili Taylor,Billy Crudup,Crime Drama Thriller,blood ties,tt1747958,Mila Kunis Lili Taylor Billy Crudup Guillaume Canet Crime Drama Thriller
Kirsten Sheridan,Robin Williams,Aaron Staton,Marian Seldes,Drama Music,august rush,tt0426931,Robin Williams Aaron Staton Marian Seldes Kirsten Sheridan Drama Music
Shekhar Kapur,Fanny Ardant,John Gielgud,Eric Cantona,Biography Drama History,elizabeth,tt0127536,Fanny Ardant John Gielgud Eric Cantona Shekhar Kapur Biography Drama History
Ronny Yu,Alexis Arquette,Park Bench,Vince Corazza,Comedy Fantasy Horror Romance,bride of chucky,tt0144120,Alexis Arquette Park Bench Vince Corazza Ronny Yu Comedy Fantasy Horror Romance
Richard Fleischer,Joseph Cotten,Richard Anderson,James Whitmore,Action Drama History War,tora! tora! tora!,tt0066473,Joseph Cotten Richard Anderson James Whitmore Richard Fleischer Action Drama History War
Bob Spiers,Jason Flemyng,Richard Briers,Victoria Beckham,Comedy Family Music,spice world,tt0120185,Jason Flemyng Richard Briers Victoria Beckham Bob Spiers Comedy Family Music
David Gordon Green,Ari Graynor,J.B. Smoove,Kylie Bunbury,Comedy,the sitter,tt1366344,Ari Graynor J.B. Smoove Kylie Bunbury David Gordon Green Comedy
Damien Dante Wayans,Damon Wayans Jr.,Essence Atkins,Chris Elliott,Action Comedy Music,dance flick,tt1153706,Damon Wayans Jr. Essence Atkins Chris Elliott Damien Dante Wayans Action Comedy Music
Frank Darabont,Morgan Freeman,Jeffrey DeMunn,Bob Gunton,Crime Drama,the shawshank redemption,tt0111161,Morgan Freeman Jeffrey DeMunn Bob Gunton Frank Darabont Crime Drama
Simon Wincer,Jere Burns,Paul Hogan,Linda Kozlowski,Adventure Comedy Crime,crocodile dundee in los angeles,tt0231402,Jere Burns Paul Hogan Linda Kozlowski Simon Wincer Adventure Comedy Crime
Bobby Farrelly,Bill Murray,Lin Shaye,Richard Tyson,Comedy Sport,kingpin,tt0116778,Bill Murray Lin Shaye Richard Tyson Bobby Farrelly Comedy Sport
John Wells,Benedict Cumberbatch,Meryl Streep,Julia Roberts,Drama,august: osage county,tt1322269,Benedict Cumberbatch Meryl Streep Julia Roberts John Wells Drama
Tim Fywell,Connie Ray,Trevor Blumas,Amy Stewart,Comedy Drama Family Sport,ice princess,tt0396652,Connie Ray Trevor Blumas Amy Stewart Tim Fywell Comedy Drama Family Sport
Nigel Cole,Aimee Garcia,Tyrone Giordano,James Read,Comedy Drama Romance,a lot like love,tt0391304,Aimee Garcia Tyrone Giordano James Read Nigel Cole Comedy Drama Romance
Spike Lee,Denzel Washington,Milla Jovovich,Rosario Dawson,Drama Sport,he got game,tt0124718,Denzel Washington Milla Jovovich Rosario Dawson Spike Lee Drama Sport
Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,Comedy Drama Romance,don juan demarco,tt0112883,Johnny Depp Marlon Brando Faye Dunaway Jeremy Leven Comedy Drama Romance
unknown,Justin Fletcher,John Sparkes,Kate Harbour,Animation Comedy Family,shaun the sheep,tt0983983,Justin Fletcher John Sparkes Kate Harbour unknown Animation Comedy Family
Lasse Hallström,Channing Tatum,Henry Thomas,Scott Porter,Drama Romance War,dear john,tt0989757,Channing Tatum Henry Thomas Scott Porter Lasse Hallström Drama Romance War
Sylvain White,Chris Evans,Jason Patric,Óscar Jaenada,Action Crime Drama Mystery Thriller,the losers,tt0480255,Chris Evans Jason Patric Óscar Jaenada Sylvain White Action Crime Drama Mystery Thriller
Troy Nixey,Bailee Madison,Alan Dale,Jack Thompson,Fantasy Horror Thriller,don't be afraid of the dark,tt1270761,Bailee Madison Alan Dale Jack Thompson Troy Nixey Fantasy Horror Thriller
Philip G. Atwell,Jason Statham,Jet Li,Nadine Velazquez,Action Crime Thriller,war,tt0499556,Jason Statham Jet Li Nadine Velazquez Philip G. Atwell Action Crime Thriller
Paul Thomas Anderson,Adam Sandler,Emily Watson,Don McManus,Comedy Drama Romance Thriller,punch-drunk love,tt0272338,Adam Sandler Emily Watson Don McManus Paul Thomas Anderson Comedy Drama Romance Thriller
Jeff Schaffer,Matt Damon,Scott Mechlowicz,Jacob Pitts,Comedy,eurotrip,tt0356150,Matt Damon Scott Mechlowicz Jacob Pitts Jeff Schaffer Comedy
Don Michael Paul,Claudia Christian,Nia Peeples,Tony Plana,Action Crime Thriller,half past dead,tt0297162,Claudia Christian Nia Peeples Tony Plana Don Michael Paul Action Crime Thriller
Paul Feig,Tyler James Williams,Rob Riggle,B.J. Novak,Adventure Comedy Family Romance,unaccompanied minors,tt0488658,Tyler James Williams Rob Riggle B.J. Novak Paul Feig Adventure Comedy Family Romance
James Bridges,Dianne Wiest,Phoebe Cates,Swoosie Kurtz,Drama,"bright lights, big city",tt0094799,Dianne Wiest Phoebe Cates Swoosie Kurtz James Bridges Drama
Steve Barron,Martin Landau,Udo Kier,Bebe Neuwirth,Adventure Family Fantasy Musical,the adventures of pinocchio,tt0115472,Martin Landau Udo Kier Bebe Neuwirth Steve Barron Adventure Family Fantasy Musical
Bill Paxton,Stephen Dillane,Matthew Knight,Amanda Tilson,Drama History Sport,the greatest game ever played,tt0388980,Stephen Dillane Matthew Knight Amanda Tilson Bill Paxton Drama History Sport
Richard Kelly,Frank Langella,Gillian Jacobs,Celia Weston,Drama Fantasy Mystery Thriller,the box,tt0362478,Frank Langella Gillian Jacobs Celia Weston Richard Kelly Drama Fantasy Mystery Thriller
Carter Smith,Laura Ramsey,Jonathan Tucker,Sergio Calderón,Horror,the ruins,tt0963794,Laura Ramsey Jonathan Tucker Sergio Calderón Carter Smith Horror
John Schlesinger,Mark Valley,Rupert Everett,Illeana Douglas,Comedy Drama Romance,the next best thing,tt0156841,Mark Valley Rupert Everett Illeana Douglas John Schlesinger Comedy Drama Romance
Luke Greenfield,Chris Marquette,Timothy Bottoms,Jacob Young,Comedy Drama Romance,the girl next door,tt0265208,Chris Marquette Timothy Bottoms Jacob Young Luke Greenfield Comedy Drama Romance
Ringo Lam,Natasha Henstridge,Zach Grenier,Paul Ben-Victor,Action Crime Mystery Romance Thriller,maximum risk,tt0117011,Natasha Henstridge Zach Grenier Paul Ben-Victor Ringo Lam Action Crime Mystery Romance Thriller
Brian Helgeland,Tom Hardy,Paul Anderson,Tara Fitzgerald,Biography Crime Drama History Thriller,legend,tt3569230,Tom Hardy Paul Anderson Tara Fitzgerald Brian Helgeland Biography Crime Drama History Thriller
Akiva Schaffer,Sissy Spacek,Jorma Taccone,Chris Parnell,Comedy,hot rod,tt0787475,Sissy Spacek Jorma Taccone Chris Parnell Akiva Schaffer Comedy
David R. Ellis,Chris Zylka,Joel David Moore,Katharine McPhee,Horror Thriller,shark night 3d,tt1633356,Chris Zylka Joel David Moore Katharine McPhee David R. Ellis Horror Thriller
Alan Parker,Emily Watson,Devon Murray,Pauline McLynn,Drama,angela's ashes,tt0145653,Emily Watson Devon Murray Pauline McLynn Alan Parker Drama
Ivan Reitman,Jennifer Garner,Chi McBride,Patrick St. Esprit,Drama Sport,draft day,tt2223990,Jennifer Garner Chi McBride Patrick St. Esprit Ivan Reitman Drama Sport
Tobe Hooper,Frank Finlay,Steve Railsback,Peter Firth,Action Horror Sci-Fi Thriller,lifeforce,tt0089489,Frank Finlay Steve Railsback Peter Firth Tobe Hooper Action Horror Sci-Fi Thriller
unknown,Elizabeth Daily,Jennifer Hale,Tom Kane,Action Animation Comedy Family Fantasy Sci-Fi,the powerpuff girls,tt0175058,Elizabeth Daily Jennifer Hale Tom Kane unknown Action Animation Comedy Family Fantasy Sci-Fi
Robert Redford,Robin Wright,Tom Wilkinson,Stephen Root,Crime Drama History,the conspirator,tt0968264,Robin Wright Tom Wilkinson Stephen Root Robert Redford Crime Drama History
Catherine Hardwicke,Heath Ledger,Michael Angarano,Rebecca De Mornay,Biography Drama Sport,lords of dogtown,tt0355702,Heath Ledger Michael Angarano Rebecca De Mornay Catherine Hardwicke Biography Drama Sport
Patricia Riggen,Marco Treviño,James Brolin,Jacob Vargas,Biography Drama History,the 33,tt2006295,Marco Treviño James Brolin Jacob Vargas Patricia Riggen Biography Drama History
John Carpenter,Victor Wong,Kate Burton,Peter Kwong,Action Adventure Comedy Fantasy,big trouble in little china,tt0090728,Victor Wong Kate Burton Peter Kwong John Carpenter Action Adventure Comedy Fantasy
Pascal Chaumeil,Dany Boon,Malonn Lévana,Alice Pol,Comedy Romance,a perfect plan,tt1986843,Dany Boon Malonn Lévana Alice Pol Pascal Chaumeil Comedy Romance
Gavin O'Connor,Tom Hardy,Frank Grillo,Kevin Dunn,Drama Sport,warrior,tt1291584,Tom Hardy Frank Grillo Kevin Dunn Gavin O'Connor Drama Sport
Neil Jordan,Alan Rickman,Liam Neeson,Julia Roberts,Biography Drama Thriller War,michael collins,tt0117039,Alan Rickman Liam Neeson Julia Roberts Neil Jordan Biography Drama Thriller War
Ron Maxwell,Tom Berenger,William Morgan Sheppard,James Patrick Stuart,Drama History War,gettysburg,tt0107007,Tom Berenger William Morgan Sheppard James Patrick Stuart Ron Maxwell Drama History War
Kimberly Peirce,Joseph Gordon-Levitt,Channing Tatum,Abbie Cornish,Drama War,stop-loss,tt0489281,Joseph Gordon-Levitt Channing Tatum Abbie Cornish Kimberly Peirce Drama War
Stephen Gaghan,Charlie Hunnam,Zooey Deschanel,Tony Goldwyn,Drama Music Mystery Romance Thriller,abandon,tt0267248,Charlie Hunnam Zooey Deschanel Tony Goldwyn Stephen Gaghan Drama Music Mystery Romance Thriller
Jonathan Kaplan,John Doe,Tom Amandes,Daniel Lapaine,Drama Mystery Thriller,brokedown palace,tt0120620,John Doe Tom Amandes Daniel Lapaine Jonathan Kaplan Drama Mystery Thriller
Richard Benjamin,Brendan Fraser,Jane Krakowski,Cathryn de Prume,Comedy Drama Romance,mrs. winterbourne,tt0117104,Brendan Fraser Jane Krakowski Cathryn de Prume Richard Benjamin Comedy Drama Romance
Rod Lurie,Alexander Skarsgård,Laz Alonso,Rhys Coiro,Action Drama Thriller,straw dogs,tt0999913,Alexander Skarsgård Laz Alonso Rhys Coiro Rod Lurie Action Drama Thriller
Lasse Hallström,Hope Davis,Christopher Evan Welch,James Biberi,Comedy Drama,the hoax,tt0462338,Hope Davis Christopher Evan Welch James Biberi Lasse Hallström Comedy Drama
Craig R. Baxley,Brian Bosworth,Sam McMurray,Richard Gant,Action Crime Drama Thriller,stone cold,tt0102984,Brian Bosworth Sam McMurray Richard Gant Craig R. Baxley Action Crime Drama Thriller
John Hillcoat,Viggo Mortensen,Charlize Theron,Robert Duvall,Adventure Drama,the road,tt0898367,Viggo Mortensen Charlize Theron Robert Duvall John Hillcoat Adventure Drama
John Guillermin,Tanya Roberts,Donovan Scott,Ted Wass,Adventure Fantasy,sheena,tt0088103,Tanya Roberts Donovan Scott Ted Wass John Guillermin Adventure Fantasy
Marcos Siega,Cheech Marin,Nick Cannon,Kaylee DeFer,Action Comedy Crime Drama Thriller,underclassman,tt0373416,Cheech Marin Nick Cannon Kaylee DeFer Marcos Siega Action Comedy Crime Drama Thriller
J.B. Rogers,Eddie Cibrian,Chris Klein,Jack Plotnick,Comedy Romance,say it isn't so,tt0239949,Eddie Cibrian Chris Klein Jack Plotnick J.B. Rogers Comedy Romance
Roger Donaldson,Anthony Hopkins,Antony Starr,Craig Hall,Biography Drama Sport,the world's fastest indian,tt0412080,Anthony Hopkins Antony Starr Craig Hall Roger Donaldson Biography Drama Sport
David R. Ellis,Lin Shaye,Kenan Thompson,Rachel Blanchard,Action Adventure Crime Drama Thriller,snakes on a plane,tt0417148,Lin Shaye Kenan Thompson Rachel Blanchard David R. Ellis Action Adventure Crime Drama Thriller
Rachel Talalay,Naomi Watts,Lori Petty,Jeff Kober,Action Comedy Sci-Fi,tank girl,tt0114614,Naomi Watts Lori Petty Jeff Kober Rachel Talalay Action Comedy Sci-Fi
Jeffrey W. Byrd,Donald Faison,Loretta Devine,Regina Hall,Comedy Crime,king's ransom,tt0388183,Donald Faison Loretta Devine Regina Hall Jeffrey W. Byrd Comedy Crime
Fernando Meirelles,Don McKellar,Joe Pingue,Yûsuke Iseya,Drama Mystery Sci-Fi Thriller,blindness,tt0861689,Don McKellar Joe Pingue Yûsuke Iseya Fernando Meirelles Drama Mystery Sci-Fi Thriller
Uwe Boll,Meat Loaf,Udo Kier,Michael Paré,Action Adventure Fantasy Horror,bloodrayne,tt0383222,Meat Loaf Udo Kier Michael Paré Uwe Boll Action Adventure Fantasy Horror
Roman Polanski,Kate Winslet,Christoph Waltz,Julie Adams,Comedy Drama,carnage,tt1692486,Kate Winslet Christoph Waltz Julie Adams Roman Polanski Comedy Drama
Atom Egoyan,Colin Firth,Alison Lohman,Rachel Blanchard,Crime Drama Mystery Thriller,where the truth lies,tt0373450,Colin Firth Alison Lohman Rachel Blanchard Atom Egoyan Crime Drama Mystery Thriller
Andrew Adamson,Dallas Barnett,Erica Linz,Igor Zaripov,Fantasy,cirque du soleil: worlds away,tt1792647,Dallas Barnett Erica Linz Igor Zaripov Andrew Adamson Fantasy
Robert Towne,Billy Burke,Monica Potter,Billy Crudup,Biography Drama Sport,without limits,tt0119934,Billy Burke Monica Potter Billy Crudup Robert Towne Biography Drama Sport
Richard Linklater,Zoe Kazan,Aidan McArdle,James Tupper,Drama,me and orson welles,tt1175506,Zoe Kazan Aidan McArdle James Tupper Richard Linklater Drama
Giuseppe Tornatore,Jim Sturgess,Sean Buchanan,Liya Kebede,Crime Drama Mystery Romance,the best offer,tt1924396,Jim Sturgess Sean Buchanan Liya Kebede Giuseppe Tornatore Crime Drama Mystery Romance
Werner Herzog,Nicolas Cage,Shea Whigham,Shawn Hatosy,Crime Drama,bad lieutenant: port of call new orleans,tt1095217,Nicolas Cage Shea Whigham Shawn Hatosy Werner Herzog Crime Drama
Ben Stassen,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,Adventure Animation Family,a turtle's tale: sammy's adventures,tt1230204,Ed Begley Jr. Jenny McCarthy Stacy Keach Ben Stassen Adventure Animation Family
Guillaume Canet,François Cluzet,Benoît Magimel,Gilles Lellouche,Comedy Drama,little white lies,tt1440232,François Cluzet Benoît Magimel Gilles Lellouche Guillaume Canet Comedy Drama
Taylor Hackford,Scout Taylor-Compton,Bai Ling,Gil Birmingham,Comedy Drama Romance Sport,love ranch,tt1125929,Scout Taylor-Compton Bai Ling Gil Birmingham Taylor Hackford Comedy Drama Romance Sport
Jérôme Deschamps,Yolande Moreau,André Wilms,Jérôme Deschamps,Adventure Animation Comedy,the true story of puss'n boots,tt1239462,Yolande Moreau André Wilms Jérôme Deschamps Jérôme Deschamps Adventure Animation Comedy
Inna Evlannikova,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,Adventure Animation Comedy Family,space dogs,tt1272051,Sergey Garmash Evgeniy Mironov Aleksandr Bashirov Inna Evlannikova Adventure Animation Comedy Family
Ridley Scott,Michael Fassbender,Brad Pitt,Goran Visnjic,Crime Drama Thriller,the counselor,tt2193215,Michael Fassbender Brad Pitt Goran Visnjic Ridley Scott Crime Drama Thriller
Jonathan English,Jason Flemyng,Mackenzie Crook,Derek Jacobi,Action Adventure History Romance,ironclad,tt1233301,Jason Flemyng Mackenzie Crook Derek Jacobi Jonathan English Action Adventure History Romance
Sergey Bondarchuk,Rod Steiger,Dan O'Herlihy,Jack Hawkins,Action Drama History War,waterloo,tt0066549,Rod Steiger Dan O'Herlihy Jack Hawkins Sergey Bondarchuk Action Drama History War
Teddy Chan,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau,Action Drama,kung fu killer,tt2952602,Siu-Wong Fan Charlie Yeung Wai-Keung Lau Teddy Chan Action Drama
Mario Van Peebles,Martin Kove,Mario Van Peebles,Jacob Vargas,Action Thriller,red sky,tt1946381,Martin Kove Mario Van Peebles Jacob Vargas Mario Van Peebles Action Thriller
Walter Salles,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,Adventure Drama,on the road,tt0337692,Kristen Stewart Viggo Mortensen Kirsten Dunst Walter Salles Adventure Drama
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Comedy Sci-Fi,star trek iv: the voyage home,tt0092007,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Adventure Comedy Sci-Fi
Sylvester Stallone,Sylvester Stallone,Burt Young,Mike Tyson,Drama Sport,rocky balboa,tt0479143,Sylvester Stallone Burt Young Mike Tyson Sylvester Stallone Drama Sport
Ericson Core,Ray Winstone,Edgar Ramírez,Delroy Lindo,Action Crime Sport Thriller,point break,tt2058673,Ray Winstone Edgar Ramírez Delroy Lindo Ericson Core Action Crime Sport Thriller
Wes Craven,Omar Epps,Jada Pinkett Smith,Kevin Williamson,Horror Mystery,scream 2,tt0120082,Omar Epps Jada Pinkett Smith Kevin Williamson Wes Craven Horror Mystery
Gavin O'Connor,Natalie Portman,Noah Emmerich,Boyd Holbrook,Action Drama Western,jane got a gun,tt2140037,Natalie Portman Noah Emmerich Boyd Holbrook Gavin O'Connor Action Drama Western
Tim Story,Romany Malco,Regina Hall,David Walton,Comedy Romance,think like a man too,tt2239832,Romany Malco Regina Hall David Walton Tim Story Comedy Romance
Jonathan Lynn,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy Crime,the whole nine yards,tt0190138,Bruce Willis Matthew Perry Natasha Henstridge Jonathan Lynn Comedy Crime
Todd Phillips,Will Ferrell,Leah Remini,Patrick Fischler,Comedy,old school,tt0302886,Will Ferrell Leah Remini Patrick Fischler Todd Phillips Comedy
